City,Country,Cloudiness,Dates,Max Temperature,Latitude,Longitude,Humidity,Wind Speed
Chokurdakh,RU,93,1603059302,19.15,70.63,147.92,98,6.26
Vanimo,PG,100,1603059303,80.31,-2.67,141.3,78,4.83
Miles City,US,90,1603059257,28.4,46.41,-105.84,74,4.7
Sechura,PE,9,1603059305,73.72,-5.56,-80.82,58,17.54
Yumen,CN,100,1603059307,42.49,40.28,97.2,49,15.64
Mahajanga,MG,20,1603059309,77.0,-15.72,46.32,83,4.7
Santa Elena,EC,90,1603059218,73.4,-2.23,-80.85,83,13.87
Norman Wells,CA,5,1603059313,19.4,65.28,-126.83,73,6.93
Egvekinot,RU,70,1603059314,26.42,66.32,-179.17,88,3.94
Kavieng,PG,67,1603059315,83.95,-2.57,150.8,72,9.26
Lázaro Cárdenas,MX,86,1603059317,84.18,17.96,-102.2,78,5.57
Saint-Joseph,RE,7,1603059318,69.8,-21.37,55.62,64,5.82
Ibotirama,BR,99,1603059319,85.44,-12.19,-43.22,42,7.9
Nikolskoye,RU,90,1603059320,37.4,59.7,30.79,86,4.47
Sambava,MG,7,1603059321,70.56,-14.27,50.17,82,10.29
Verkhnetulomskiy,RU,94,1603059323,23.0,68.61,31.8,100,2.24
Huarmey,PE,49,1603059324,66.76,-10.07,-78.15,71,10.13
Naze,JP,75,1603059325,75.2,28.37,129.48,88,21.92
Siuna,NI,100,1603059328,80.17,13.73,-84.78,92,2.33
Salé,MA,87,1603059254,64.0,34.04,-6.82,87,3.36
Senno,RU,100,1603059330,36.0,59.53,33.92,96,8.77
Ahipara,NZ,16,1603059191,64.67,-35.17,173.17,71,11.41
Akdepe,TM,0,1603059333,46.4,42.06,59.38,42,9.17
Tautira,PF,40,1603059334,84.2,-17.73,-149.15,70,18.34
Mercedes,AR,18,1603059335,87.01,-34.65,-59.43,28,5.01
Zliten,LY,23,1603059336,69.76,32.47,14.57,57,10.56
Cherskiy,RU,91,1603059337,21.11,68.75,161.3,92,6.96
Guanare,VE,100,1603059341,79.21,9.04,-69.74,87,0.96
Abu Samrah,SY,61,1603059342,63.1,35.3,37.18,53,5.19
Aipe,CO,78,1603059344,93.88,3.22,-75.24,33,11.1
Nichinan,JP,75,1603059346,59.0,31.6,131.37,87,6.93
Laguna,US,1,1603059347,91.99,38.42,-121.42,17,4.7
Berlevåg,NO,40,1603059349,26.6,70.86,29.09,92,9.17
Najrān,SA,0,1603059207,66.2,17.49,44.13,25,2.98
Shache,CN,0,1603059352,44.51,38.42,77.24,53,4.79
Alibag,IN,40,1603059353,82.4,18.64,72.88,83,3.06
New Norfolk,AU,79,1603059355,55.99,-42.78,147.06,72,1.99
Awjilah,LY,73,1603059356,77.09,29.11,21.29,28,9.48
South River,US,87,1603059357,61.0,40.45,-74.39,69,8.99
Udimskiy,RU,100,1603059359,34.97,61.14,45.91,98,5.39
Nur-Sultan,KZ,2,1603059360,24.8,51.18,71.45,85,4.47
Kirakira,SB,97,1603059361,83.68,-10.45,161.92,74,7.45
Freeport,US,75,1603059223,60.8,40.66,-73.58,62,10.29
Goderich,CA,100,1603059363,53.01,43.75,-81.72,91,5.01
Castro,BR,87,1603059171,61.45,-24.79,-50.01,90,7.67
Lac-Mégantic,CA,20,1603059366,55.4,45.58,-70.88,32,10.29
Ulaangom,MN,56,1603059367,33.46,49.98,92.07,88,2.51
Remontnoye,RU,95,1603059368,57.2,46.56,43.65,67,8.95
Zaraysk,RU,100,1603059369,36.0,54.77,38.88,73,3.0
Rawson,AR,35,1603059371,70.14,-43.3,-65.1,22,27.29
Erenhot,CN,0,1603059372,42.75,43.65,111.98,54,12.95
Caravelas,BR,66,1603059373,72.88,-17.71,-39.25,81,8.55
Pontianak,ID,91,1603059217,75.67,-0.03,109.33,93,3.2
Atlantis,ZA,100,1603059376,59.0,-33.57,18.48,87,5.21
Avarua,CK,88,1603059377,78.8,-21.21,-159.78,74,9.17
Gobabis,NA,0,1603059378,72.54,-22.45,18.97,19,12.06
Grindavik,IS,20,1603059379,41.0,63.84,-22.43,86,19.46
Voh,NC,0,1603059381,76.41,-20.97,164.7,58,4.68
Camacha,PT,40,1603059382,71.6,33.08,-16.33,88,21.92
Husavik,IS,90,1603059383,41.0,66.04,-17.34,75,14.99
Basoko,CD,94,1603059384,72.41,1.24,23.62,91,0.6
Coxim,BR,99,1603059385,86.16,-18.51,-54.76,49,8.68
Sur,OM,15,1603059387,82.31,22.57,59.53,43,16.17
Longyan,CN,22,1603059388,60.66,25.11,117.02,87,3.6
Lavrentiya,RU,32,1603059203,36.3,65.58,-171.0,86,4.07
Arrondissement de Reims,FR,78,1603059390,48.2,49.17,4.08,93,1.12
Epe,NG,7,1603059392,76.96,6.58,3.98,91,3.47
Novouzensk,RU,88,1603059393,59.65,50.46,48.14,75,10.51
Riviere-au-Renard,CA,75,1603059394,44.6,49.0,-64.4,75,5.82
Pozo Colorado,PY,21,1603059395,82.67,-23.49,-58.8,60,5.68
Tonj,SS,98,1603059398,71.04,7.27,28.68,93,2.64
Ribeira Grande,PT,57,1603059399,63.91,38.52,-28.7,75,21.41
Omboué,GA,95,1603059400,76.89,-1.57,9.26,89,8.34
Hambantota,LK,92,1603059401,77.0,6.12,81.12,94,4.7
Airai,TL,43,1603059403,62.33,-8.93,125.41,61,2.3
College,US,90,1603059231,19.99,64.86,-147.8,62,4.7
Serik,TR,40,1603059405,71.6,36.92,31.1,83,6.93
Jenbach,AT,75,1603059406,43.0,47.4,11.74,87,1.12
Ejura,GH,86,1603059369,73.9,7.39,-1.36,95,3.53
Gemeente Hoogeveen,NL,92,1603059409,46.99,52.68,6.58,95,1.99
Tobermory,CA,100,1603059410,39.99,45.25,-81.67,91,1.99
Tura,IN,0,1603059411,72.34,25.52,90.22,91,1.79
Neiafu,TO,40,1603059412,77.0,-18.65,-173.98,73,4.7
Mahébourg,MU,20,1603059413,73.4,-20.41,57.7,78,8.05
Lumeje,AO,0,1603059415,72.34,-11.55,20.78,51,2.98
Lira,UG,100,1603059416,64.89,2.23,32.91,93,2.13
Virginia Beach,US,38,1603059394,68.0,36.85,-75.98,79,8.97
Fortuna,US,20,1603059418,68.0,40.6,-124.16,63,14.99
Petropavlovsk-Kamchatskiy,RU,75,1603059420,42.8,53.05,158.65,100,4.47
Yarensk,RU,100,1603059421,32.31,62.17,49.09,98,8.16
Bilibino,RU,90,1603059422,16.3,68.05,166.44,94,2.19
Srednekolymsk,RU,82,1603059423,22.98,67.45,153.68,98,2.37
Itupiranga,BR,20,1603059424,87.8,-5.13,-49.33,58,3.36
Skjervøy,NO,3,1603059426,38.91,70.03,20.97,73,6.22
Assiut,EG,0,1603059427,73.4,27.18,31.18,56,2.75
Kukushtan,RU,75,1603059429,41.0,57.65,56.5,86,15.66
Meulaboh,ID,100,1603059432,76.01,4.14,96.13,83,4.23
San Quintín,MX,89,1603059433,80.65,30.48,-115.95,44,19.26
Upata,VE,60,1603059434,91.0,8.01,-62.4,58,1.63
Saint-Pierre,RE,0,1603059435,69.8,-21.34,55.48,64,5.82
Calama,CL,0,1603059248,77.0,-22.47,-68.93,6,23.04
Stokmarknes,NO,17,1603059438,36.0,68.56,14.91,71,7.0
Carroll,US,100,1603059439,60.01,39.55,-77.02,67,4.14
Buchanan,LR,75,1603059440,77.0,5.88,-10.05,94,7.07
San Angelo,US,1,1603059370,91.99,31.46,-100.44,27,3.36
Fairbanks,US,90,1603059443,19.99,64.84,-147.72,62,4.7
Kota Tinggi,MY,20,1603059444,78.8,1.74,103.9,94,2.24
Moose Factory,CA,90,1603059243,35.6,51.26,-80.61,93,8.05
Mazamet,FR,2,1603059446,51.01,43.49,2.37,93,4.7
Teahupoo,PF,40,1603059448,84.2,-17.83,-149.27,70,18.34
Petoa,HN,40,1603059449,87.8,15.27,-88.28,70,12.75
Manoel Urbano,BR,87,1603059450,78.48,-8.84,-69.26,73,3.87
Kumul,CN,47,1603059196,42.19,42.8,93.45,56,1.14
Port-Gentil,GA,90,1603059452,78.8,-0.72,8.78,88,9.17
Beyla,GN,97,1603059454,69.8,8.68,-8.63,93,2.39
Ganzhou,CN,100,1603059455,58.42,28.82,115.43,83,3.51
Pineville,US,20,1603059308,82.99,31.32,-92.43,58,12.75
Naryan-Mar,RU,18,1603059459,28.35,67.67,53.09,96,2.06
Porto Seguro,BR,75,1603059460,73.4,-16.45,-39.06,83,6.93
Nouadhibou,MR,28,1603059461,82.4,20.93,-17.03,45,12.75
Puerto Escondido,MX,40,1603059463,87.8,15.85,-97.07,62,8.05
Sumbe,AO,100,1603059208,75.76,-11.21,13.84,84,6.4
Chimoré,BO,59,1603059466,89.87,-16.98,-65.13,38,2.24
Tindwāri,IN,23,1603059467,79.57,25.62,80.53,50,3.18
Soe,ID,0,1603059468,68.83,-9.86,124.28,72,2.44
Rehoboth,NA,37,1603059469,71.2,-23.32,17.08,21,9.69
Santa Maria,BR,0,1603059471,72.79,-29.68,-53.81,62,5.55
Negombo,LK,40,1603059472,78.8,7.21,79.84,94,2.24
Chihuahua,MX,5,1603059294,87.8,28.5,-106.0,16,5.82
Terme,TR,75,1603059474,64.4,41.21,36.97,88,1.12
Lismore,AU,40,1603059249,68.0,-28.81,153.28,77,8.05
Jutaí,BR,20,1603059477,83.84,-5.18,-68.9,65,2.39
Whitehorse,CA,75,1603059478,26.6,60.72,-135.05,53,11.41
Saryozek,KZ,0,1603059479,40.82,44.36,77.98,66,1.23
Acobamba,PE,90,1603059480,56.19,-11.35,-75.66,65,5.91
Rey Bouba,CM,0,1603059482,77.32,8.67,14.18,64,1.99
Visakhapatnam,IN,75,1603059483,80.6,17.69,83.21,94,2.24
Viedma,AR,0,1603059484,73.99,-40.81,-63.0,21,5.79
Port Moresby,PG,75,1603059485,78.8,-9.44,147.18,94,3.36
Bhaderwah,IN,0,1603059487,52.93,32.98,75.72,39,2.57
Anapskaya,RU,20,1603059488,62.6,44.89,37.38,88,6.71
Mollendo,PE,91,1603059489,62.71,-17.02,-72.01,75,4.23
Zhezkazgan,KZ,0,1603059490,43.12,47.8,67.71,57,8.61
Iquique,CL,40,1603059491,66.2,-20.22,-70.14,59,10.29
Puerto Nariño,CO,75,1603059493,82.4,-3.77,-70.38,83,4.7
Macapá,BR,90,1603059242,87.8,0.04,-51.07,70,13.87
Kiruna,SE,70,1603059495,26.6,67.86,20.23,86,17.22
Poum,NC,0,1603059496,74.07,-20.23,164.02,72,16.75
Vardø,NO,75,1603059238,30.2,70.37,31.11,86,13.87
Comodoro Rivadavia,AR,40,1603059234,64.4,-45.87,-67.5,20,36.91
Invermere,CA,98,1603059305,40.73,50.52,-116.04,64,1.61
Kresttsy,RU,100,1603059501,39.13,58.25,32.52,84,11.18
Shirokiy,RU,96,1603059502,30.76,49.76,129.52,89,5.26
Río Tercero,AR,0,1603059503,95.0,-32.17,-64.11,27,1.99
Linköping,SE,5,1603059270,39.2,58.41,15.62,51,11.41
Parlākimidi,IN,73,1603059507,76.77,18.77,84.08,83,3.87
Alekseyevka,RU,0,1603059508,43.77,50.63,38.69,73,5.64
Sitka,US,75,1603059510,44.6,57.05,-135.33,65,4.7
Nantucket,US,20,1603059511,54.0,41.28,-70.1,71,5.82
Chengde,CN,0,1603059512,43.41,40.97,117.94,59,2.51
Port Said,EG,20,1603059514,77.0,31.26,32.28,78,6.93
La Sarre,CA,100,1603059506,38.34,48.8,-79.2,97,7.25
Yerbogachën,RU,100,1603059237,36.82,61.28,108.01,96,6.64
São Filipe,CV,42,1603059518,80.6,14.9,-24.5,80,8.5
Kabalo,CD,12,1603059366,71.33,-6.05,26.92,84,4.14
Port-Cartier,CA,75,1603059522,41.0,50.03,-66.87,93,5.82
Ürümqi,CN,34,1603059523,51.8,43.8,87.6,32,11.18
Gus-Zheleznyy,RU,90,1603059525,38.95,55.06,41.17,75,13.11
Tezu,IN,0,1603059526,72.84,27.92,96.17,67,3.47
Tanout,NE,0,1603059528,88.65,14.97,8.89,12,7.4
Ishinomaki,JP,75,1603059256,50.0,38.42,141.3,81,2.24
Kutum,SD,0,1603059530,76.5,14.2,24.67,18,7.85
Piaçabuçu,BR,82,1603059531,75.02,-10.41,-36.43,77,8.57
Harper,LR,100,1603059533,77.22,4.38,-7.72,90,6.67
Malbork,PL,54,1603059534,39.0,54.04,19.03,100,8.95
Tsumeb,NA,0,1603059535,74.32,-19.23,17.72,17,10.04
Umluj,SA,0,1603059430,84.54,25.02,37.27,43,5.95
Nyandoma,RU,95,1603059537,28.26,61.67,40.2,99,0.27
St. George's,GD,20,1603059539,86.0,12.06,-61.75,79,9.17
Spirit River,CA,40,1603059540,23.0,55.78,-118.84,62,2.24
Boueni,YT,0,1603059541,77.0,-12.9,45.08,78,5.82
Puerto Baquerizo Moreno,EC,90,1603059254,69.8,-0.9,-89.6,100,14.99
Vostok,RU,0,1603059545,24.49,46.49,135.88,91,4.09
Bom Jesus da Lapa,BR,98,1603059426,81.09,-13.26,-43.42,55,10.49
Tortolì,IT,40,1603059547,59.0,39.93,9.66,87,8.05
Massakory,TD,2,1603059548,88.3,13.0,15.73,15,6.89
La Ronge,CA,90,1603059549,28.4,55.1,-105.28,68,10.29
Pochutla,MX,20,1603059551,89.6,15.74,-96.47,59,9.17
